No,D/P&BOM 코드,D/P&BOM 내역,설계기능,협력사,직영책임부서,최종 출도가능일자,출도실적
59,DPBOM000002867,의장(설치),F3,,D5,2022-12-24,2022-10-06
60,DPBOM000006334,제작,F3,,D5,2022-12-01,2022-07-24
61,DPBOM000006335,Supp 제작,F3,,D5,2022-12-01,2022-07-24
62,DPBOM000002868,의장(설치),F4,,D6,2022-11-18,2022-09-19
63,DPBOM000002668,의장(설치),F4,,D6,2022-12-24,2022-09-19
64,DPBOM000001847,철의장,F4,,D6,2022-12-01,2022-06-20
65,DPBOM000002882,의장(설치),F5,,D7,2022-11-12,
66,DPBOM000002883,의장(설치),F5,,D7,2022-12-19,
67,DPBOM000002884,의장(설치),F8,,D5,2022-11-12,2022-10-03
68,DPBOM000006342,의장(설치),F8,,D5,2022-12-24,2022-10-03
69,DPBOM000002885,의장(설치),F5,,D7,2022-11-12,2022-11-10
70,DPBOM000002886,철의장,F5,,D7,2022-10-20,2022-10-15
71,DPBOM000002673,의장(설치),F5,,D7,2022-12-19,2022-11-10
72,DPBOM000001729,철의장,F5,,D7,2022-11-24,2022-09-30
73,DPBOM000001857,의장(설치),F4,,D6,2023-01-08,2022-09-04
74,DPBOM000006348,의장(설치),F3,,D5,2023-01-08,2023-01-08
75,DPBOM000001798,의장(설치),F3,,D5,2022-12-24,2022-10-06
76,DPBOM000001730,제작,F3,,D5,2022-12-01,2022-10-14
77,DPBOM000006351,Supp 제작,F3,,D5,2022-12-01,2022-10-14
78,DPBOM000002899,의장(설치),F4,,D6,2022-11-12,2022-10-14
79,DPBOM000002901,의장(설치),F4,,D6,2022-12-24,2022-10-14
80,DPBOM000006354,의장(설치),F6,,D8,2023-02-19,2023-01-29
81,DPBOM000006355,목의,F6,,D8,2023-01-26,2022-09-19
82,DPBOM000006356,의장(설치),F5,,D7,2023-02-04,
83,DPBOM000006357,의장(설치),F5,,D7,2022-12-19,2022-11-10
84,DPBOM000006358,철의장,F5,,D7,2022-11-26,2022-11-19
85,DPBOM000002927,의장(설치),F5,,D7,2022-12-23,
86,DPBOM000002928,의장(설치),F5,,D7,2022-12-23,
87,DPBOM000002930,의장(설치),F5,,D7,2022-11-12,2022-11-10
88,DPBOM000002931,철의장,F5,,D7,2022-10-20,2022-10-15
89,DPBOM000002686,의장(설치),F5,,D7,2022-12-23,2022-11-10
90,DPBOM000001732,철의장,F5,,D7,2022-11-26,2022-10-15
91,DPBOM000001854,의장(설치),F4,,D6,2023-02-11,2022-09-04
92,DPBOM000006366,의장(설치),F3,,D5,2023-02-11,2023-02-11
93,DPBOM000002643,의장(설치),F3,,D5,2022-12-26,2022-12-26
94,DPBOM000001733,제작,F3,,D5,2022-12-03,2022-10-14
95,DPBOM000001734,Supp 제작,F3,,D5,2022-12-03,2022-10-14
96,DPBOM000006370,의장(설치),F3,,D5,2022-12-12,2022-12-12
97,DPBOM000006371,제작,F3,,D5,2022-11-19,2022-10-15
98,DPBOM000006372,Supp 제작,F3,,D5,2022-11-19,2022-10-15
99,DPBOM000002941,의장(설치),F4,,D6,2022-11-12,2022-10-20
100,DPBOM000006374,의장(설치),F1,,D3,2022-12-23,2022-11-24
101,DPBOM000002687,의장(설치),F4,,D6,2022-12-26,2022-10-20
102,DPBOM000001735,철의장,F4,,D6,2022-12-03,2022-08-15
103,DPBOM000002970,의장(설치),F5,,D7,2022-12-03,
104,DPBOM000002971,의장(설치),F5,,D7,2023-03-03,
105,DPBOM000006379,의장(설치),F8,,D5,2022-12-08,2022-10-03
106,DPBOM000006380,의장(설치),F8,,D5,2023-01-06,2022-10-03
107,DPBOM000002585,의장(설치),F5,,D7,2022-12-03,2022-12-02
108,DPBOM000001355,철의장,F5,,D7,2022-11-10,2022-11-10
109,DPBOM000002691,의장(설치),F5,,D7,2022-12-03,2022-12-02
110,DPBOM000001356,철의장,F5,,D7,2023-01-30,2022-10-16
111,DPBOM000002979,의장(설치),F4,,D6,2023-03-09,2022-09-04
112,DPBOM000006386,의장(설치),F3,,D5,2023-03-09,2023-03-09
113,DPBOM000001852,의장(설치),F3,,D5,2023-03-04,2023-03-04
114,DPBOM000001739,제작,F3,,D5,2023-02-06,2023-02-06
115,DPBOM000001741,Supp 제작,F3,,D5,2023-02-06,2023-02-06
116,DPBOM000002996,의장(설치),F4,,D6,2022-12-08,2022-10-02
117,DPBOM000002694,의장(설치),F4,,D6,2023-03-04,2022-10-02
118,DPBOM000006392,의장(설치),F5,,D7,2022-12-19,2022-11-18
119,DPBOM000006393,의장(설치),F7,,D4,2023-02-19,2023-02-06
120,DPBOM000006394,의장(설치),F5,D1,D7,2022-12-19,2022-11-18
121,DPBOM000006395,철의장,F5,D1,D7,2022-11-26,2022-11-06
122,DPBOM000006396,의장(설치),F5,,D7,2023-02-04,
123,DPBOM000006397,의장(설치),F5,D1,D7,2023-01-09,2022-10-21
124,DPBOM000001804,의장(설치),F1,,D3,2023-01-09,2022-08-15
125,DPBOM000006399,의장(설치),F1,,D3,2023-01-09,2023-01-09
126,DPBOM000001756,철의장,F1,,D3,2022-12-17,2022-08-07
127,DPBOM000006401,의장(설치),F5,,D7,2023-01-13,
128,DPBOM000006402,의장(설치),F5,D1,D7,2023-01-12,2022-10-21
129,DPBOM000001805,의장(설치),F1,,D3,2023-01-12,2022-08-15
130,DPBOM000006404,의장(설치),F1,,D3,2023-01-12,2023-01-12
131,DPBOM000001757,철의장,F1,,D3,2022-12-16,2022-12-16
132,DPBOM000006406,의장(설치),F5,,D7,2022-12-26,
133,DPBOM000006407,의장(설치),F5,D1,D7,2022-12-31,2022-10-21
134,DPBOM000001806,의장(설치),F1,,D3,2022-12-31,2022-08-15
135,DPBOM000006409,의장(설치),F5,,D7,2022-12-31,
136,DPBOM000006410,의장(설치),F5,D1,D7,2023-01-01,2022-10-21
137,DPBOM000001807,의장(설치),F1,,D3,2023-01-01,2022-08-15
138,DPBOM000006412,의장(설치),F5,,D7,2022-12-31,
139,DPBOM000006413,의장(설치),F5,D1,D7,2023-01-01,2022-10-21
140,DPBOM000001808,의장(설치),F1,,D3,2023-01-01,2022-08-15
141,DPBOM000006415,의장(설치),F5,,D7,2022-12-19,
142,DPBOM000006416,의장(설치),F5,,D7,2022-12-19,
143,DPBOM000006417,의장(설치),F5,D1,D7,2022-11-20,2022-10-21
144,DPBOM000006418,의장(설치),F5,D1,D7,2022-12-25,2022-10-21
145,DPBOM000006419,철의장,F5,D1,D7,2022-11-27,2022-11-25
146,DPBOM000003049,의장(설치),F1,,D3,2022-11-20,2022-08-15
147,DPBOM000006421,의장(설치),F1,,D3,2022-12-22,2022-11-14
148,DPBOM000001809,의장(설치),F1,,D3,2022-12-25,2022-08-15
149,DPBOM000006423,철의장,F1,,D3,2022-12-02,2022-08-06
150,DPBOM000006424,의장(설치),F5,,D7,2023-01-26,
151,DPBOM000006425,의장(설치),F5,D1,D7,2022-12-25,2022-10-21
152,DPBOM000006426,철의장,F5,D1,D7,2022-12-02,2022-10-23
153,DPBOM000006427,의장(설치),F5,,D7,2023-01-26,
154,DPBOM000006428,의장(설치),F5,D1,D7,2022-12-25,2022-10-21
155,DPBOM000006429,철의장,F5,D1,D7,2022-12-02,2022-10-23
156,DPBOM000006430,의장(설치),F5,,D7,2023-01-01,
157,DPBOM000006431,의장(설치),F5,D1,D7,2022-12-31,2022-10-21
158,DPBOM000006432,의장(설치),F1,,D3,2023-01-06,2022-08-15
159,DPBOM000006433,의장(설치),F1,,D3,2023-01-06,2023-01-06
160,DPBOM000006434,의장(설치),F5,,D7,2023-01-26,
161,DPBOM000006435,의장(설치),F5,D1,D7,2022-12-31,2022-10-21
162,DPBOM000006436,철의장,F5,D1,D7,2022-12-08,2022-10-23
163,DPBOM000006437,의장(설치),F5,,D7,2023-01-26,
164,DPBOM000006438,의장(설치),F5,D1,D7,2022-12-31,2022-10-21
165,DPBOM000006439,철의장,F5,D1,D7,2022-12-08,2022-10-23
166,DPBOM000006440,의장(설치),F5,,D7,2022-12-25,
167,DPBOM000006441,의장(설치),F5,,D7,2022-12-25,
168,DPBOM000006442,의장(설치),F5,D1,D7,2022-11-13,2022-10-21
169,DPBOM000006443,의장(설치),F5,D1,D7,2023-01-06,2022-10-21
170,DPBOM000006444,의장(설치),F1,,D3,2022-11-13,2022-11-14
171,DPBOM000006445,의장(설치),F1,,D3,2022-11-13,2022-08-15
172,DPBOM000006446,의장(설치),F1,,D3,2023-01-06,2022-08-15
173,DPBOM000006447,의장(설치),F5,,D7,2023-03-03,2023-03-03
174,DPBOM000002767,의장(설치),F7,,D4,2023-03-17,2023-03-09
175,DPBOM000001687,철의장,F7,,D4,2023-02-20,2022-11-10
176,DPBOM000006450,의장(설치),F7,,D4,2023-03-17,2023-02-10
177,DPBOM000006451,의장(설치),F5,D1,D7,2023-02-11,2022-10-21
178,DPBOM000002710,의장(설치),F2,,D4,2023-01-08,2022-11-21
179,DPBOM000001810,의장(설치),F1,,D3,2023-01-08,2022-10-06
180,DPBOM000001812,의장(설치),F1,,D3,2023-03-03,2022-10-06
181,DPBOM000001813,의장(설치),F1,,D3,2023-02-23,2022-10-06
182,DPBOM000001762,철의장,F1,,D3,2023-01-19,2022-12-22
183,DPBOM000001814,의장(설치),F1,,D3,2023-01-22,2022-10-06
184,DPBOM000001815,의장(설치),F1,,D3,2023-01-21,2022-10-06
185,DPBOM000001816,의장(설치),F1,,D3,2023-01-14,2022-10-06
186,DPBOM000001817,의장(설치),F1,,D3,2023-01-15,2022-10-06
187,DPBOM000006461,의장(설치),F5,,D7,2023-03-03,
188,DPBOM000006462,의장(설치),F5,D1,D7,2023-01-08,2022-10-21
189,DPBOM000006463,철의장,F5,D1,D7,2022-12-16,2022-10-15
190,DPBOM000006464,의장(설치),F1,,D3,2023-01-02,2023-01-01
191,DPBOM000001818,의장(설치),F1,,D3,2023-01-08,2022-10-06
192,DPBOM000001770,철의장,F1,,D3,2022-12-16,2022-08-13
193,DPBOM000006467,의장(설치),F1,,D3,2023-02-19,2022-10-06
194,DPBOM000006468,의장(설치),F1,,D3,2023-01-19,2022-10-06
195,DPBOM000006469,의장(설치),F1,,D3,2023-01-30,2022-10-17
196,DPBOM000003110,의장(설치),F5,,D7,2023-03-31,
197,DPBOM000003114,의장(설치),F5,D1,D7,2023-03-17,2022-11-18
198,DPBOM000003115,철의장,F5,D1,D7,2023-02-20,2022-11-07
199,DPBOM000003124,의장(설치),F1,,D3,2023-01-30,2022-08-12
200,DPBOM000006474,의장,F1,,D3,2023-05-12,2022-11-20
201,DPBOM000003136,의장(설치),F1,,D3,2023-02-06,2022-12-12
202,DPBOM000003137,의장(설치),F1,,D3,2023-02-06,2022-11-07
203,DPBOM000001819,의장(설치),F1,,D3,2023-02-06,2022-10-17
204,DPBOM000003139,철의장,F1,,D3,2023-01-15,2022-09-09
205,DPBOM000006479,의장(설치),F5,,D7,2023-03-31,
206,DPBOM000003149,의장(설치),F5,D1,D7,2023-02-06,2023-01-27
207,DPBOM000003150,철의장,F5,D1,D7,2023-01-14,2022-11-26
208,DPBOM000003152,의장(설치),F1,,D3,2023-02-06,2022-10-17
209,DPBOM000002324,의장(설치),F6,,D8,2023-03-31,2022-11-03
210,DPBOM000006484,의장(설치),F6,,D8,2023-03-31,2022-10-29
211,DPBOM000006485,의장(설치),F6,,D8,2023-03-16,2022-10-14
212,DPBOM000002737,의장(설치),F6,,D8,2023-03-31,2022-10-29
213,DPBOM000002716,의장(설치),F6,,D8,2023-02-17,2022-10-14
214,DPBOM000002326,의장(설치),F6,,D8,2023-03-02,2023-03-02
215,DPBOM000002723,의장(설치),F6,,D8,2023-03-23,2022-10-14
216,DPBOM000003160,의장(설치),F6,,D8,2023-03-20,2022-10-30
217,DPBOM000003161,의장(설치),F6,,D8,2023-03-20,2022-10-30
218,DPBOM000002769,의장(설치),F6,,D8,2023-03-25,2022-10-14
219,DPBOM000006493,의장(설치),F6,,D8,2023-03-31,2022-10-28
220,DPBOM000002773,의장(설치),F6,,D8,2023-03-31,2022-11-03
221,DPBOM000002771,의장(설치),F6,,D8,2023-03-31,2023-01-12
222,DPBOM000006496,의장(설치),F6,,D8,2023-03-31,2022-10-28
223,DPBOM000002738,의장(설치),F6,,D8,2023-05-01,2023-03-31
224,DPBOM000002739,의장(설치),F6,,D8,2023-03-31,2022-10-28
225,DPBOM000002740,의장(설치),F6,,D8,2023-03-31,2023-01-12
226,DPBOM000002741,의장(설치),F6,,D8,2023-03-31,2022-11-26
227,DPBOM000006501,의장(설치),F6,,D8,2023-05-01,2023-03-13
228,DPBOM000002742,의장(설치),F6,,D8,2023-03-31,2022-10-28
229,DPBOM000002333,의장(설치),F6,,D8,2023-03-03,2022-10-28
230,DPBOM000006504,의장(설치),F5,,D7,2023-03-09,
231,DPBOM000002701,의장(설치),F5,,D7,2023-03-03,2023-03-03
232,DPBOM000006506,철의장,F5,,D7,2023-02-05,2023-02-05
233,DPBOM000001201,의장(설치),F9,D1,D8,2023-03-04,2022-10-14
234,DPBOM000000846,제작,F9,D1,D8,2023-02-05,2023-02-03
235,DPBOM000000847,Supp 제작,F9,D1,D8,2023-02-05,2023-02-03
236,DPBOM000000848,철의장,F9,D1,D8,2023-02-05,2023-02-04
237,DPBOM000002336,의장(설치),F1,,D3,2023-03-03,2022-10-13
238,DPBOM000003177,의장(설치),F9,D1,D8,2023-03-03,2023-02-03
239,DPBOM000002702,의장(설치),F6,,D8,2023-03-03,2022-10-28
240,DPBOM000002714,의장(설치),F1,,D3,2023-04-21,2023-04-22
241,DPBOM000003180,철의장,F1,,D3,2023-04-21,2023-04-22
242,DPBOM000006516,의장(설치),F1,,D3,2023-03-03,2023-03-03
243,DPBOM000003181,의장(설치),F9,D1,D8,2023-03-03,2023-02-03
244,DPBOM000002338,의장(설치),F6,,D8,2023-03-03,2022-10-24
245,DPBOM000002339,의장(설치),F6,,D8,2023-05-01,2023-02-11
246,DPBOM000002340,의장(설치),F1,,D3,2023-05-01,2023-04-22
247,DPBOM000002341,의장(설치),F6,,D8,2023-03-03,2022-10-27
248,DPBOM000001823,의장(설치),F9,D1,D8,2023-03-04,2022-10-14
249,DPBOM000001774,철의장,F9,D1,D8,2023-02-05,2023-02-04
250,DPBOM000002343,의장(설치),F6,,D8,2023-03-31,2022-11-03
251,DPBOM000002230,의장(설치),F6,,D8,2022-10-14,2022-10-14
252,DPBOM000006526,의장(설치),F6,,D8,2023-03-31,2022-10-29
253,DPBOM000003192,의장(설치),F6,,D8,2023-03-16,2022-10-14
254,DPBOM000002743,의장(설치),F6,,D8,2023-03-31,2022-10-29
255,DPBOM000002717,의장(설치),F6,,D8,2023-02-17,2022-10-14
256,DPBOM000002724,의장(설치),F6,,D8,2022-10-28,2022-10-14
257,DPBOM000002725,의장(설치),F6,,D8,2023-03-23,2022-10-14
258,DPBOM000003200,의장(설치),F6,,D8,2023-03-20,2022-10-30
259,DPBOM000002726,의장(설치),F6,,D8,2023-03-20,2022-10-30
260,DPBOM000002345,의장(설치),F6,,D8,2022-10-28,2022-10-14
261,DPBOM000002770,의장(설치),F6,,D8,2023-03-25,2022-10-14
262,DPBOM000002346,의장(설치),F6,,D8,2022-10-28,2022-10-28
263,DPBOM000002347,의장(설치),F6,,D8,2022-10-28,2022-10-14
264,DPBOM000006538,의장(설치),F6,,D8,2023-01-13,2023-01-12
265,DPBOM000002348,의장(설치),F6,,D8,2022-10-28,2022-10-28
266,DPBOM000002350,의장(설치),F6,,D8,2022-10-28,2022-10-28
267,DPBOM000000852,목의,F6,,D8,2022-10-03,2022-10-03
268,DPBOM000006542,의장(설치),F6,,D8,2023-03-31,2022-10-28
269,DPBOM000002662,의장(설치),F6,,D8,2023-03-31,2022-11-03
270,DPBOM000006544,의장(설치),F6,,D8,2023-03-31,2023-01-12
271,DPBOM000000853,목의,F6,,D8,2023-03-05,2022-10-03
272,DPBOM000002744,의장(설치),F6,,D8,2023-03-31,2022-10-28
273,DPBOM000006547,의장(설치),F6,,D8,2023-03-31,2023-01-12
274,DPBOM000002746,의장(설치),F6,,D8,2023-03-13,2023-03-13
275,DPBOM000002351,의장(설치),F6,,D8,2023-03-03,2022-10-28
276,DPBOM000003214,의장(설치),F5,,D7,2022-10-28,
277,DPBOM000006551,의장(설치),F5,,D7,2023-03-31,
278,DPBOM000006552,의장(설치),F8,,D5,2022-11-07,2022-10-28
279,DPBOM000002352,의장(설치),F5,,D7,2022-10-28,2022-10-27
280,DPBOM000006554,의장(설치),F5,,D7,2022-10-28,2022-10-28
281,DPBOM000000854,철의장,F5,,D7,2022-10-03,2022-10-02
282,DPBOM000006556,철의장,F5,,D7,2022-10-03,2022-10-01
283,DPBOM000006557,의장(설치),F5,,D7,2023-03-04,2022-10-09
284,DPBOM000006558,철의장,F5,,D7,2023-02-05,2023-02-05
285,DPBOM000001205,의장(설치),F9,D1,D8,2022-10-28,2022-10-14
286,DPBOM000000856,제작,F9,D1,D8,2022-10-03,2022-09-04
287,DPBOM000000857,Supp 제작,F9,D1,D8,2022-10-03,2022-10-01
288,DPBOM000000858,철의장,F9,D1,D8,2022-10-03,2022-10-01
289,DPBOM000001206,의장(설치),F9,D1,D8,2023-03-04,2022-10-14
290,DPBOM000002353,의장(설치),F6,,D8,2022-10-28,2022-10-24
291,DPBOM000002354,의장(설치),F6,,D8,2022-10-28,2022-10-28
292,DPBOM000002355,의장(설치),F1,,D3,2022-10-28,2022-10-13
293,DPBOM000002356,의장(설치),F6,,D8,2022-10-28,2022-10-27
294,DPBOM000003233,철의장,F6,,D8,2022-10-03,2022-10-03
295,DPBOM000000862,철의장,F6,,D8,2022-10-03,2022-10-03
296,DPBOM000000863,철의장,F1,,D3,2022-10-03,2022-09-23
297,DPBOM000002658,의장(설치),F6,,D8,2023-03-03,2022-10-28
298,DPBOM000002357,의장(설치),F6,,D8,2023-03-04,2022-10-24
299,DPBOM000002358,의장(설치),F6,,D8,2023-03-03,2022-10-28
300,DPBOM000002359,의장(설치),F6,,D8,2023-03-03,2022-10-27
301,DPBOM000001208,의장(설치),F9,D1,D8,2022-10-28,2022-10-14
302,DPBOM000000864,철의장,F9,D1,D8,2022-10-03,2022-09-04
303,DPBOM000001209,의장(설치),F9,D1,D8,2023-03-04,2022-10-14
304,DPBOM000000865,철의장,F9,D1,D8,2023-01-16,2023-01-14
305,DPBOM000002402,의장(설치),F6,,D8,2022-11-03,2022-11-03
306,DPBOM000002404,의장(설치),F6,,D8,2022-11-03,2022-10-29
307,DPBOM000002278,의장(설치),F6,,D8,2022-10-20,2022-10-14
308,DPBOM000000872,목의,F6,,D8,2022-10-09,2022-10-09
309,DPBOM000002405,의장(설치),F6,,D8,2022-11-03,2022-10-14
310,DPBOM000002406,의장(설치),F6,,D8,2022-11-03,2022-10-30
311,DPBOM000002408,의장(설치),F6,,D8,2022-11-03,2022-10-14
312,DPBOM000002410,의장(설치),F6,,D8,2022-11-03,2022-10-28
313,DPBOM000002411,의장(설치),F6,,D8,2022-11-03,2022-10-18
314,DPBOM000006588,의장(설치),F6,,D8,2023-01-13,2023-01-12
315,DPBOM000002412,의장(설치),F6,,D8,2022-11-03,2022-10-28
316,DPBOM000002414,의장(설치),F6,,D8,2022-11-03,2022-10-28
317,DPBOM000000873,목의,F6,,D8,2022-10-09,2022-10-09
318,DPBOM000003270,의장(설치),F5,,D7,2022-11-03,
319,DPBOM000006593,의장(설치),F5,,D7,2023-04-06,
320,DPBOM000002416,의장(설치),F5,,D7,2022-11-03,2022-11-03
321,DPBOM000006595,의장(설치),F5,,D7,2022-11-03,2022-11-03
322,DPBOM000000874,철의장,F5,,D7,2022-10-09,2022-10-09
323,DPBOM000006597,의장(설치),F5,,D7,2023-04-06,2022-11-03
324,DPBOM000006598,철의장,F5,,D7,2023-03-10,2023-02-05
325,DPBOM000001212,의장(설치),F9,,D8,2022-11-03,2022-10-08
326,DPBOM000000875,제작,F9,,D8,2022-10-09,2022-09-11
327,DPBOM000002419,의장(설치),F6,,D8,2022-11-03,2022-10-24
328,DPBOM000002420,의장(설치),F6,,D8,2022-11-03,2022-10-28
329,DPBOM000006603,의장(설치),F1,,D3,2022-11-03,2022-10-13
330,DPBOM000002421,의장(설치),F6,,D8,2022-11-03,2022-10-27
331,DPBOM000003283,철의장,F6,,D8,2022-10-09,2022-10-03
332,DPBOM000000881,철의장,F6,,D8,2022-10-09,2022-09-09
333,DPBOM000006607,철의장,F1,,D3,2022-10-09,2022-09-17
334,DPBOM000002423,의장(설치),F6,,D8,2023-03-04,2022-10-24
335,DPBOM000002424,의장(설치),F6,,D8,2023-03-03,2022-10-28
336,DPBOM000002425,의장(설치),F6,,D8,2023-03-03,2022-10-27
337,DPBOM000001283,의장(설치),F9,,D8,2022-11-03,2022-10-08
338,DPBOM000001198,철의장,F9,,D8,2022-10-09,2022-09-11
339,DPBOM000002440,의장(설치),F6,,D8,2022-11-07,2022-11-03
340,DPBOM000002442,의장(설치),F6,,D8,2022-11-07,2022-10-29
341,DPBOM000002300,의장(설치),F6,,D8,2022-10-24,2022-10-14
342,DPBOM000006616,목의,F6,,D8,2022-10-15,2022-10-09
343,DPBOM000002443,의장(설치),F6,,D8,2022-11-07,2022-10-14
344,DPBOM000002444,의장(설치),F6,,D8,2022-11-07,2022-10-30
345,DPBOM000002446,의장(설치),F6,,D8,2022-11-07,2022-10-14
346,DPBOM000002448,의장(설치),F6,,D8,2022-11-07,2022-10-28
347,DPBOM000002489,의장(설치),F6,,D8,2022-11-07,2022-10-24
348,DPBOM000006622,의장(설치),F6,,D8,2023-01-13,2023-01-12
349,DPBOM000002449,의장(설치),F6,,D8,2022-11-07,2022-10-28
350,DPBOM000002450,의장(설치),F6,,D8,2022-11-07,2022-10-28
351,DPBOM000000882,목의,F6,,D8,2022-10-15,2022-10-15
352,DPBOM000003313,의장(설치),F5,,D7,2022-11-07,
353,DPBOM000006627,의장(설치),F5,,D7,2023-03-09,
354,DPBOM000002453,의장(설치),F5,,D7,2022-11-07,2022-11-07
355,DPBOM000006629,의장(설치),F5,,D7,2022-11-07,2022-11-07
356,DPBOM000006630,철의장,F5,,D7,2022-10-15,2022-10-16
357,DPBOM000006631,의장(설치),F5,,D7,2023-03-04,2022-10-09
358,DPBOM000006632,철의장,F5,,D7,2023-02-05,2023-02-05
359,DPBOM000001214,의장(설치),F9,D1,D8,2022-11-07,2022-11-05
360,DPBOM000000883,제작,F9,D1,D8,2022-10-15,2022-10-15
361,DPBOM000000884,Supp 제작,F9,D1,D8,2022-10-15,2022-10-15
362,DPBOM000000885,철의장,F9,D1,D8,2022-10-15,2022-10-15
363,DPBOM000002456,의장(설치),F6,,D8,2022-11-07,2022-10-24
364,DPBOM000002457,의장(설치),F6,,D8,2022-11-07,2022-10-28
365,DPBOM000006639,의장(설치),F1,,D3,2022-11-07,2022-10-13
366,DPBOM000002491,의장(설치),F6,,D8,2022-11-07,2022-10-27
367,DPBOM000003325,철의장,F6,,D8,2022-10-15,2022-10-03
368,DPBOM000000889,철의장,F6,,D8,2022-10-15,2022-09-09
369,DPBOM000006643,철의장,F1,,D3,2022-10-15,2022-09-17
370,DPBOM000002459,의장(설치),F6,,D8,2023-03-04,2022-10-24
371,DPBOM000002460,의장(설치),F6,,D8,2023-03-03,2022-10-28
372,DPBOM000002492,의장(설치),F6,,D8,2023-03-03,2022-10-27
